id,name,symbol,category,tags
1975,Chainlink,LINK,token,"platform,cosmos-ecosystem,defi,interoperability,iot,oracles,smart-contracts,ethereum-ecosystem,tron-ecosystem,polkadot,tokenized-stock,polkadot-ecosystem,heco-ecosystem,avalanche-ecosystem,solana-ecosystem,framework-ventures-portfolio,hedera-hashgraph-ecosystem,polygon-ecosystem,fantom-ecosystem,cardano-ecosystem,terra-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosystem,celo-ecosystem,defi-2,cross-chain,cronos-ecosystem,cardano,injective-ecosystem,bnb-chain-ecosystem,oasis-ecosystem,moonbeam-ecosystem,xdc-ecosystem,metisdao-ecosystem,velas-ecosystem,doge-chain-ecosystem,aptos-ecosystem,sui-ecosystem,optimism-ecosystem,bitcoin-ecosystem,real-world-assets-protocols,zksync-era-ecosystem,kadena-ecosystem,base-ecosystem,linea-ecosystem,sei-ecosystem,toncoin-ecosystem,paal-ecosystem,blast-ecosystem,atomicals-ecosystem,move-vm,eigenlayer-ecosystem,hyperliquid-ecosystem,gnosis-chain-ecosystem,ronin-ecosystem,astar-ecosystem,core-ecosystem,starknet-ecosystem,mantle-ecosystem,opbnb-ecosystem,scroll-ecosystem,merlin-ecosystem,x-layer-ecosystem,b²-network-ecosystem,mode-ecosystem,world-chain-mainnet-ecosystem,apechain-ecosystem,made-in-america,btcfi,world-liberty-financial-portfolio,corn-ecosystem,bonk-fun-ecosystem,sonic-ecosystem,binance-ecosystem,binance-listing,bittensor-ecosystem,tokenized-assets,xstocks-ecosystem,hyperevm-ecosystem,etherlink-ecosystem,bera-chain-ecosystem,abstract-chain-ecosystem,unichain-ecosystem,soneium-ecosystem,fraxtal-ecosystem,monad-ecosystem,hashkey-chain-ecosystem,wlfi-ecosystem,plasma-ecosystem,x402-ecosystem,iso-20022"
2010,Cardano,ADA,coin,"dpos,pos,platform,research,smart-contracts,staking,cardano-ecosystem,cardano,layer-1,alleged-sec-securities,2017-2018-alt-season,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing,iso-20022"
3635,Cronos,CRO,coin,"medium-of-exchange,centralized-exchange,mobile,payments,layer-1"
3957,UNUS SED LEO,LEO,token,"marketplace,centralized-exchange,discount-token,payments,ethereum-ecosystem,kenetic-capital-portfolio,alameda-research-portfolio"
4642,Hedera,HBAR,coin,"dag,marketplace,enterprise-solutions,payments,dcg-portfolio,hedera-hashgraph-ecosystem,real-world-assets-protocols,layer-1,made-in-america,binance-ecosystem,binance-listing,iso-20022"
5426,Solana,SOL,coin,"pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okx-ventures-portfolio,layer-1,ftx-bankruptcy-estate,alleged-sec-securities,cmc-crypto-awards-2024,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing"
5805,Avalanche,AVAX,coin,"smart-contracts,three-arrows-capital-portfolio,polychain-capital-portfolio,avalanche-ecosystem,cms-holdings-portfolio,dragonfly-capital-portfolio,real-world-assets-protocols,layer-1,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing"
5994,Shiba Inu,SHIB,token,"memes,ethereum-ecosystem,doggone-doggerel,bnb-chain-ecosystem,base-ecosystem,animal-memes,binance-ecosystem,binance-listing,etherlink-ecosystem"
6636,Polkadot,DOT,coin,"defi,ethereum-ecosystem,substrate,polkadot,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,heco-ecosystem,arrington-xrp-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,web3,arbitrum-ecosystem,spartan-group,optimism-ecosystem,osmosis-ecosystem,base-ecosystem,gnosis-chain-ecosystem,binance-ecosystem,binance-listing"
7083,Uniswap,UNI,token,"decentralized-exchange-dex-token,defi,dao,ethereum-ecosystem,yield-farming,amm,coinbase-ventures-portfolio,three-arrows-capital-portfolio,governance,heco-ecosystem,avalanche-ecosystem,solana-ecosystem,blockchain-capital-portfolio,defiance-capital-portfolio,alameda-research-portfolio,a16z-portfolio,pantera-capital-portfolio,parafi-capital,paradigm-portfolio,polygon-ecosystem,terra-ecosystem,near-protocol-ecosystem,arbitrum-ecosystem,cmc-crypto-awards-2024,gnosis-chain-ecosystem,sora-ecosystem,hoo-smart-chain-ecosystem,made-in-america,binance-ecosystem,binance-listing,etherlink-ecosystem"
7278,Aave,AAVE,token,"defi,dao,ethereum-ecosystem,yield-farming,three-arrows-capital-portfolio,governance,heco-ecosystem,avalanche-ecosystem,solana-ecosystem,lending-borowing,blockchain-capital-portfolio,defiance-capital-portfolio,framework-ventures-portfolio,alameda-research-portfolio,pantera-capital-portfolio,parafi-capital,polygon-ecosystem,fantom-ecosystem,near-protocol-ecosystem,arbitrum-ecosystem,optimism-ecosystem,standard-crypto-portfolio,gnosis-chain-ecosystem,sora-ecosystem,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing"
11419,Toncoin,TON,coin,"pos,layer-1,ftx-bankruptcy-estate,dwf-labs-portfolio,toncoin-ecosystem,cmc-crypto-yearbook-2024-2025,binance-ecosystem,binance-listing"
20947,Sui,SUI,coin,"binance-launchpool,coinbase-ventures-portfolio,binance-labs-portfolio,electric-capital-portfolio,a16z-portfolio,sui-ecosystem,layer-1,move-vm,cmc-crypto-yearbook-2024-2025,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing"
22974,Bittensor,TAO,token,"ai-big-data,distributed-computing,oracles,dao,polychain-capital-portfolio,dcg-portfolio,open-source,generative-ai,layer-1,depin,cmc-crypto-yearbook-2024-2025,binance-ecosystem,binance-listing,bittensor-ecosystem,robotics"
27075,Mantle,MNT,token,"ethereum-ecosystem,layer-2,dwf-labs-portfolio,made-in-china,neobank"
32196,Hyperliquid,HYPE,token,"decentralized-exchange-dex-token,defi,derivatives,layer-1,hyperliquid-ecosystem,binance-ecosystem,binance-listing,perp-dex-coins"
33251,World Liberty Financial,WLFI,token,"defi,ethereum-ecosystem,solana-ecosystem,bnb-chain-ecosystem,made-in-america,binance-ecosystem,binance-listing,wlfi-ecosystem"
36341,Aster,ASTER,token,"decentralized-exchange-dex-token,defi,derivatives,dex,bnb-chain-ecosystem,binance-ecosystem,binance-listing,perp-dex-coins,made-in-china"
37263,Canton,CC,token,"proof-of-authority,store-of-value,enterprise-solutions,privacy,interoperability,scaling,smart-contracts,layer-1,binance-ecosystem,binance-listing,privacy-blockchain"
